,time,x,x,x,x,time,u,u,u,u
244,4.92,0,0,0,0,4.92,0,0,0,0
245,4.94,0,0,0,0,4.94,0,0,0,0
246,4.96,0,0,0,0,4.96,0,0,0,0
247,4.98,0,0,0,0,4.98,0,0,0,0
248,5,0,0,0,0,5,0,0,0,0
249,5.02,-2.41E-05,-2.41E-05,-2.41E-05,-2.41E-05,5.02,0,0,0,0
250,5.04,-9.29E-05,-9.27E-05,-9.26E-05,-9.23E-05,5.04,0,0.000723175,0.001205292,0.002410585
251,5.06,-0.000201048,-0.00019988,-0.000199103,-0.000197165,5.06,0,0.002780957,0.004629118,0.009229182
252,5.08,-0.000343509,-0.000339369,-0.000336623,-0.000329802,5.08,0,0.005996403,0.009955152,0.019716531
253,5.1,-0.000515308,-0.000504691,-0.00049768,-0.000480381,5.1,0,0.01018108,0.016831129,0.032980236
254,5.12,-0.000711694,-0.000689352,-0.000674687,-0.000638817,5.12,0,0.015140736,0.024883987,0.048038106
255,5.14,-0.000928152,-0.000887001,-0.000860199,-0.000795364,5.14,0,0.020680571,0.033734353,0.063881694
256,5.16,-0.001160415,-0.001091568,-0.00104715,-0.000941148,5.16,0,0.026610029,0.043009939,0.079536375
257,5.18,-0.001404488,-0.001297387,-0.001229062,-0.001068609,5.18,0,0.032747035,0.052357504,0.094114769
258,5.2,-0.001656656,-0.001499298,-0.001400207,-0.001171836,5.2,0,0.038921623,0.061453086,0.106860949
259,5.22,-0.001913499,-0.001692718,-0.001555736,-0.001246773,5.22,0,0.044978931,0.070010335,0.117183636
260,5.24,-0.00217189,-0.001873707,-0.001691766,-0.00129131,5.24,0,0.050781548,0.077786819,0.124677309
261,5.26,-0.002429001,-0.002038995,-0.001805418,-0.001305251,5.26,0,0.056211207,0.084588285,0.129130983
262,5.28,-0.002682301,-0.002186006,-0.001894832,-0.001290177,5.28,0,0.061169863,0.090270898,0.130525099
263,5.3,-0.002929551,-0.002312847,-0.001959132,-0.001249212,5.3,0,0.065580168,0.094741584,0.129017652
264,5.32,-0.003168796,-0.002418298,-0.001998374,-0.001186727,5.32,0,0.069385407,0.097956621,0.124921183
